,date,time,dt,forecast,actual,delta,dev,peak
0,8/1/14,12:00:00 AM,1/8/14 0:00,1.3325,-0.005016667,-1.337516667,-100.376485328,0
1,8/1/14,12:15:00 AM,1/8/14 0:15,1.395,-0.0063,-1.4013,-100.451612903,0
2,8/1/14,12:30:00 AM,1/8/14 0:30,1.4225,-0.008641667,-1.431141667,-100.607498559,0
3,8/1/14,12:45:00 AM,1/8/14 0:45,1.415,-0.007791667,-1.422791667,-100.550647845,0
4,8/1/14,1:00:00 AM,1/8/14 1:00,1.41,-0.008991667,-1.418991667,-100.637706879,0
5,8/1/14,1:15:00 AM,1/8/14 1:15,1.405,-0.008175,-1.413175,-100.581850534,0
6,8/1/14,1:30:00 AM,1/8/14 1:30,1.3725,-0.008466667,-1.380966667,-100.616879199,0
7,8/1/14,1:45:00 AM,1/8/14 1:45,1.3125,-0.0077,-1.3202,-100.586666667,0
8,8/1/14,2:00:00 AM,1/8/14 2:00,1.2475,-0.0078,-1.2553,-100.625250501,0
9,8/1/14,2:15:00 AM,1/8/14 2:15,1.185,-0.008416667,-1.193416667,-100.710267257,0
10,8/1/14,2:30:00 AM,1/8/14 2:30,1.115,-0.008925,-1.123925,-100.80044843,0
11,8/1/14,2:45:00 AM,1/8/14 2:45,1.0425,-0.008841667,-1.051341667,-100.848121535,0
12,8/1/14,3:00:00 AM,1/8/14 3:00,0.845,-0.008958333,-0.853958333,-101.060157751,0
13,8/1/14,3:15:00 AM,1/8/14 3:15,0.78,-0.008008333,-0.788008333,-101.026709359,0
14,8/1/14,3:30:00 AM,1/8/14 3:30,0.7525,-0.006566667,-0.759066667,-100.872646777,0
15,8/1/14,3:45:00 AM,1/8/14 3:45,0.77,-0.005783333,-0.775783333,-100.751082208,0
16,8/1/14,4:00:00 AM,1/8/14 4:00,0.79,-0.005941667,-0.795941667,-100.752109747,0
17,8/1/14,4:15:00 AM,1/8/14 4:15,0.81,-0.007375,-0.817375,-100.910493827,0
18,8/1/14,4:30:00 AM,1/8/14 4:30,0.7775,-0.008808333,-0.786308333,-101.132904566,0
19,8/1/14,4:45:00 AM,1/8/14 4:45,0.6775,-0.007541667,-0.685041667,-101.113161181,0
20,8/1/14,5:00:00 AM,1/8/14 5:00,0.575,-0.006216667,-0.581216667,-101.081159478,0
21,8/1/14,5:15:00 AM,1/8/14 5:15,0.48,-0.004016667,-0.484016667,-100.836805625,0
22,8/1/14,5:30:00 AM,1/8/14 5:30,0.4,-0.002541667,-0.402541667,-100.63541675,0
23,8/1/14,5:45:00 AM,1/8/14 5:45,0.3425,-0.002141667,-0.344641667,-100.625304234,0
24,8/1/14,6:00:00 AM,1/8/14 6:00,0.465,-0.002375,-0.467375,-100.510752688,0
25,8/1/14,6:15:00 AM,1/8/14 6:15,0.385,-0.002358333,-0.387358333,-100.612554026,0
26,8/1/14,6:30:00 AM,1/8/14 6:30,0.34,-0.001891667,-0.341891667,-100.556372647,0
27,8/1/14,6:45:00 AM,1/8/14 6:45,0.3225,-0.005775,-0.328275,-101.790697674,0
28,8/1/14,7:00:00 AM,1/8/14 7:00,0.3025,-0.006025,-0.308525,-101.991735537,1
29,8/1/14,7:15:00 AM,1/8/14 7:15,0.2775,-0.007925,-0.285425,-102.855855856,1
30,8/1/14,7:30:00 AM,1/8/14 7:30,0.265,0.021583333,-0.243416667,-91.8553460377,1
31,8/1/14,7:45:00 AM,1/8/14 7:45,0.2675,0.295966667,0.028466667,10.6417446729,1
32,8/1/14,8:00:00 AM,1/8/14 8:00,0.2725,0.5322,0.2597,95.3027522936,1
33,8/1/14,8:15:00 AM,1/8/14 8:15,0.28,0.2476,-0.0324,-11.5714285714,1
34,8/1/14,8:30:00 AM,1/8/14 8:30,0.245,0.002675,-0.242325,-98.9081632653,1
35,8/1/14,8:45:00 AM,1/8/14 8:45,0.175,-0.003291667,-0.178291667,-101.880952571,1
36,8/1/14,9:00:00 AM,1/8/14 9:00,0.125,-0.001566667,-0.126566667,-101.2533336,1
37,8/1/14,9:15:00 AM,1/8/14 9:15,0.1,-0.00075,-0.10075,-100.75,1
38,8/1/14,9:30:00 AM,1/8/14 9:30,0.025,-0.006941667,-0.031941667,-127.766668,1
39,8/1/14,9:45:00 AM,1/8/14 9:45,0.0225,0.036941667,0.014441667,64.1851866667,1
40,8/1/14,10:00:00 AM,1/8/14 10:00,0.0125,0.193358333,0.180858333,1446.866664,1
41,8/1/14,10:15:00 AM,1/8/14 10:15,0.015,0.555225,0.540225,3601.5,1
42,8/1/14,10:30:00 AM,1/8/14 10:30,0.0125,0.63245,0.61995,4959.6,1
43,8/1/14,10:45:00 AM,1/8/14 10:45,0.005,0.619266667,0.614266667,12285.33334,1
44,8/1/14,11:00:00 AM,1/8/14 11:00,0.0075,0.3475,0.34,4533.33333333,1
45,8/1/14,11:15:00 AM,1/8/14 11:15,0.0175,0.407816667,0.390316667,2230.38095429,1
46,8/1/14,11:30:00 AM,1/8/14 11:30,0.0225,0.74115,0.71865,3194.0,1
47,8/1/14,11:45:00 AM,1/8/14 11:45,0.025,0.5826,0.5576,2230.4,1
48,8/1/14,12:00:00 PM,1/8/14 12:00,0.125,0.284808333,0.159808333,127.8466664,1
49,8/1/14,12:15:00 PM,1/8/14 12:15,0.1,0.244841667,0.144841667,144.841667,1
50,8/1/14,12:30:00 PM,1/8/14 12:30,0.025,0.070666667,0.045666667,182.666668,1
51,8/1/14,12:45:00 PM,1/8/14 12:45,0.0225,0.663833333,0.641333333,2850.37036889,1
52,8/1/14,1:00:00 PM,1/8/14 13:00,0.0125,1.235141667,1.222641667,9781.133336,1
53,8/1/14,1:15:00 PM,1/8/14 13:15,0.0225,1.048058333,1.025558333,4558.03703556,1
54,8/1/14,1:30:00 PM,1/8/14 13:30,0.025,0.663416667,0.638416667,2553.666668,1
55,8/1/14,1:45:00 PM,1/8/14 13:45,0.125,0.376566667,0.251566667,201.2533336,1
56,8/1/14,2:00:00 PM,1/8/14 14:00,0.1,0.718416667,0.618416667,618.416667,1
57,8/1/14,2:15:00 PM,1/8/14 14:15,0.025,1.49795,1.47295,5891.8,1
58,8/1/14,2:30:00 PM,1/8/14 14:30,0.0275,2.203116667,2.175616667,7911.33333455,1
59,8/1/14,2:45:00 PM,1/8/14 14:45,0.0325,2.553883333,2.521383333,7758.10256308,1
60,8/1/14,3:00:00 PM,1/8/14 15:00,0.3075,2.685666667,2.378166667,773.387533984,1
61,8/1/14,3:15:00 PM,1/8/14 15:15,0.41,2.712766667,2.302766667,561.650406585,1
62,8/1/14,3:30:00 PM,1/8/14 15:30,0.605,2.998125,2.393125,395.55785124,1
