Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN
8/1/14,1:00,N,4.59,5.35,5.30,1.00
8/1/14,2:00,N,2.31,2.55,3.04,1.00
8/1/14,3:00,N,2.09,1.80,3.00,1.00
8/1/14,4:00,N,0.50,1.00,2.79,1.00
8/1/14,5:00,N,0.63,1.44,2.79,1.00
8/1/14,6:00,N,2.29,3.00,3.00,1.00
8/1/14,7:00,N,7.93,5.68,4.35,1.00
8/1/14,8:00,N,5.66,3.00,4.00,1.00
8/1/14,9:00,N,7.39,4.00,4.00,1.00
8/1/14,10:00,N,9.11,3.00,4.53,1.00
8/1/14,11:00,N,5.86,4.95,4.95,1.00
8/1/14,12:00,N,3.50,5.56,5.56,1.00
8/1/14,13:00,N,2.68,4.84,5.84,1.00
8/1/14,14:00,N,3.50,8.44,12.09,1.00
8/1/14,15:00,N,3.50,16.63,19.63,1.00
8/1/14,16:00,N,3.39,23.42,27.42,9.81
8/1/14,17:00,N,4.67,32.44,37.22,12.79
8/1/14,18:00,N,3.52,17.65,23.12,16.12
8/1/14,19:00,N,8.31,12.50,15.50,11.00
8/1/14,20:00,N,8.11,9.13,9.13,2.48
8/1/14,21:00,N,7.64,4.00,7.11,1.00
8/1/14,22:00,N,8.92,4.77,4.86,1.00
8/1/14,23:00,N,5.42,9.26,9.26,1.00
8/1/14,24:00:00,N,6.20,5.93,5.93,1.00
8/2/14,1:00,N,7.77,4.00,4.00,1.00
8/2/14,2:00,N,3.11,5.19,4.19,1.00
8/2/14,3:00,N,2.66,3.68,3.09,1.00
8/2/14,4:00,N,2.93,2.64,3.00,1.00
8/2/14,5:00,N,2.88,3.00,3.00,1.00
8/2/14,6:00,N,4.05,4.28,4.00,1.00
8/2/14,7:00,N,12.41,6.54,5.00,1.00
8/2/14,8:00,N,9.46,4.35,4.35,1.00
8/2/14,9:00,N,20.00,5.44,4.63,1.00
8/2/14,10:00,N,20.00,3.00,4.50,1.00
8/2/14,11:00,N,8.11,3.70,5.70,1.00
8/2/14,12:00,N,5.36,5.30,5.90,1.00
8/2/14,13:00,N,3.50,8.76,10.66,1.00
8/2/14,14:00,N,3.50,10.73,13.73,1.00
8/2/14,15:00,N,3.50,12.48,15.01,5.09
8/2/14,16:00,N,3.50,20.38,21.13,5.09
8/2/14,17:00,N,4.59,27.68,31.02,5.09
8/2/14,18:00,N,3.91,17.36,19.36,5.09
8/2/14,19:00,N,7.79,11.75,13.19,5.09
8/2/14,20:00,N,8.26,13.45,14.31,5.09
8/2/14,21:00,N,7.59,4.62,6.62,2.00
8/2/14,22:00,N,8.41,4.76,4.86,1.00
8/2/14,23:00,N,5.40,5.38,5.81,1.00
8/2/14,24:00:00,N,6.32,3.87,5.85,1.00
8/3/14,1:00,N,7.29,9.11,7.32,1.00
8/3/14,2:00,N,2.42,5.00,4.00,1.00
8/3/14,3:00,N,2.11,5.00,4.00,1.00
8/3/14,4:00,N,2.11,3.01,3.00,1.00
8/3/14,5:00,N,2.11,3.47,3.00,1.00
8/3/14,6:00,N,4.00,4.41,4.00,1.00
8/3/14,7:00,N,9.45,6.54,5.00,1.00
8/3/14,8:00,N,7.38,4.35,4.35,1.00
8/3/14,9:00,N,9.10,4.35,4.35,1.00
8/3/14,10:00,N,20.00,6.50,5.50,1.00
8/3/14,11:00,N,8.61,6.84,7.48,1.00
8/3/14,12:00,N,5.36,3.00,5.32,1.00
8/3/14,13:00,N,2.56,8.79,9.79,1.00
8/3/14,14:00,N,3.50,11.31,14.31,1.00
8/3/14,15:00,N,3.50,12.24,15.12,5.09
8/3/14,16:00,N,3.50,24.80,25.44,5.09
8/3/14,17:00,N,4.56,30.70,34.70,5.09
8/3/14,18:00,N,3.73,22.13,24.13,5.09
8/3/14,19:00,N,8.11,15.55,17.82,5.09
8/3/14,20:00,N,8.11,13.13,13.17,5.09
8/3/14,21:00,N,7.31,6.39,9.72,2.00
8/3/14,22:00,N,7.50,6.51,6.51,1.00
8/3/14,23:00,N,4.19,6.77,6.77,1.00
8/3/14,24:00:00,N,6.49,4.39,5.14,1.00
8/4/14,1:00,N,5.53,7.06,5.27,1.00
8/4/14,2:00,N,2.11,5.00,4.00,1.00
8/4/14,3:00,N,2.01,3.47,3.68,1.00
8/4/14,4:00,N,1.00,2.52,3.00,1.00
8/4/14,5:00,N,0.91,2.87,3.00,1.00
8/4/14,6:00,N,2.63,4.26,4.00,1.00
8/4/14,7:00,N,7.22,7.99,6.28,1.00
8/4/14,8:00,N,5.38,5.81,4.81,1.00
8/4/14,9:00,N,7.37,7.06,6.06,1.00
8/4/14,10:00,N,8.42,4.35,4.35,1.00
8/4/14,11:00,N,5.24,4.42,6.01,1.00
8/4/14,12:00,N,3.31,7.32,7.32,1.00
8/4/14,13:00,N,2.00,8.50,11.07,1.00
8/4/14,14:00,N,3.40,12.29,14.27,1.00
8/4/14,15:00,N,3.11,14.58,17.92,5.09
8/4/14,16:00,N,3.50,24.54,28.54,5.09
8/4/14,17:00,N,5.74,31.12,37.03,5.09
8/4/14,18:00,N,3.50,16.66,21.68,5.09
8/4/14,19:00,N,7.96,14.03,16.03,5.09
8/4/14,20:00,N,7.79,10.58,12.58,1.09
8/4/14,21:00,N,5.95,7.34,9.84,1.30
8/4/14,22:00,N,6.60,9.38,9.70,1.51
8/4/14,23:00,N,5.06,5.57,5.57,1.00
8/4/14,24:00:00,N,6.56,4.18,4.35,1.00
8/5/14,1:00,N,5.91,5.16,4.00,1.00
8/5/14,2:00,N,2.11,3.33,3.00,1.00
8/5/14,3:00,N,2.00,2.80,2.89,1.00
