,date,time,dt,forecast,actual,delta,dev,peak,dam,rtm,regdn,regup,rrs,nspin
0,8/1/14,12:00:00 AM,1/8/14 0:00,1.3325,-0.005016667,-1.337516667,-100.3764853,0,30.68071429,28.16,4.59,5.35,5.3,1
1,8/1/14,12:15:00 AM,1/8/14 0:15,1.395,-0.0063,-1.4013,-100.4516129,0,30.68071429,27.52,4.59,5.35,5.3,1
2,8/1/14,12:30:00 AM,1/8/14 0:30,1.4225,-0.008641667,-1.431141667,-100.6074986,0,30.68071429,27.22,4.59,5.35,5.3,1
3,8/1/14,12:45:00 AM,1/8/14 0:45,1.415,-0.007791667,-1.422791667,-100.5506478,0,30.68071429,27.26,4.59,5.35,5.3,1
4,8/1/14,1:00:00 AM,1/8/14 1:00,1.41,-0.008991667,-1.418991667,-100.6377069,0,27.685,26.97,2.31,2.55,3.04,1
5,8/1/14,1:15:00 AM,1/8/14 1:15,1.405,-0.008175,-1.413175,-100.5818505,0,27.685,26.86,2.31,2.55,3.04,1
6,8/1/14,1:30:00 AM,1/8/14 1:30,1.3725,-0.008466667,-1.380966667,-100.6168792,0,27.685,26.35,2.31,2.55,3.04,1
7,8/1/14,1:45:00 AM,1/8/14 1:45,1.3125,-0.0077,-1.3202,-100.5866667,0,27.685,25.89,2.31,2.55,3.04,1
8,8/1/14,2:00:00 AM,1/8/14 2:00,1.2475,-0.0078,-1.2553,-100.6252505,0,25.39,26.11,2.09,1.8,3,1
9,8/1/14,2:15:00 AM,1/8/14 2:15,1.185,-0.008416667,-1.193416667,-100.7102673,0,25.39,26.11,2.09,1.8,3,1
10,8/1/14,2:30:00 AM,1/8/14 2:30,1.115,-0.008925,-1.123925,-100.8004484,0,25.39,25.79,2.09,1.8,3,1
11,8/1/14,2:45:00 AM,1/8/14 2:45,1.0425,-0.008841667,-1.051341667,-100.8481215,0,25.39,25.22,2.09,1.8,3,1
12,8/1/14,3:00:00 AM,1/8/14 3:00,0.845,-0.008958333,-0.853958333,-101.0601578,0,24.94142857,25.35,0.5,1,2.79,1
